filename_nor,model_type,num_params,chans,groups,scale,rrmse_nor,rmse_nor,corr_nor,sdr_nor,filename_gen,rrmse_gen,rmse_gen,corr_gen,sdr_gen
final_3conv_ch4_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_501_params.txt,3conv,501,4,1,2,0.460804194,0.256578028,0.88757664,6.729671955,best_conv3SingleHeadNet_final_3conv_ch4_grp1_scale2_mse_only_denoise_epoch_50_weights_501_params_gen_metrics.txt,0.702109396,0.702109337,0.714318514,3.071905136
final_3conv_ch4_grp1_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_557_params.txt,3conv,557,4,1,4,0.457069129,0.254498333,0.889780939,6.800363064,best_conv3SingleHeadNet_final_3conv_ch4_grp1_scale4_mse_only_denoise_epoch_50_weights_557_params_gen_metrics.txt,0.711237073,0.711237013,0.706926405,2.959712744
final_3conv_ch4_grp2_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_361_params.txt,3conv,361,4,2,1,0.46173507,0.25709635,0.887429118,6.712143898,best_conv3SingleHeadNet_final_3conv_ch4_grp2_scale1_mse_only_denoise_epoch_50_weights_361_params_gen_metrics.txt,0.725385308,0.725385249,0.693323314,2.788625002
final_3conv_ch4_grp2_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_389_params.txt,3conv,389,4,2,2,0.458131731,0.255089998,0.88927573,6.780192852,best_conv3SingleHeadNet_final_3conv_ch4_grp2_scale2_mse_only_denoise_epoch_50_weights_389_params_gen_metrics.txt,0.718581915,0.718581855,0.701342165,2.8704741
final_3conv_ch4_grp2_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_445_params.txt,3conv,445,4,2,4,0.460481822,0.256398529,0.88802439,6.735751152,best_conv3SingleHeadNet_final_3conv_ch4_grp2_scale4_mse_only_denoise_epoch_50_weights_445_params_gen_metrics.txt,0.714178383,0.714178324,0.704625964,2.923866272
final_3conv_ch4_grp4_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_249_params.txt,3conv,249,4,4,1,0.464964479,0.258894503,0.885550737,6.651605606,best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale1_mse_only_denoise_epoch_50_weights_249_params_gen_metrics.txt,0.721965551,0.721965492,0.696827829,2.829670668
final_3conv_ch4_grp4_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_249_params.txt,3conv,249,4,4,2,0.46398446,0.258348823,0.886172712,6.669931412,best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale2_mse_only_denoise_epoch_50_weights_249_params_gen_metrics.txt,0.713219225,0.713219166,0.702575028,2.935539246
final_3conv_ch4_grp4_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_333_params.txt,3conv,333,4,4,4,0.460823566,0.256588817,0.887587786,6.729306698,best_conv3SingleHeadNet_final_3conv_ch4_grp4_scale4_mse_only_denoise_epoch_50_weights_333_params_gen_metrics.txt,0.723271072,0.723271012,0.692472219,2.813978672
final_3conv_ch8_grp1_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1777_params.txt,3conv,1777,8,1,1,0.448489845,0.249721333,0.894563437,6.964948177,best_conv3SingleHeadNet_final_3conv_ch8_grp1_scale1_mse_only_denoise_epoch_50_weights_1777_params_gen_metrics.txt,0.72959429,0.729594231,0.690707624,2.738371849
final_3conv_ch8_grp1_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_1865_params.txt,3conv,1865,8,1,2,0.446686536,0.248717248,0.895100832,6.999943733,best_conv3SingleHeadNet_final_3conv_ch8_grp1_scale2_mse_only_denoise_epoch_50_weights_1865_params_gen_metrics.txt,0.718808711,0.718808651,0.700140715,2.867733955
