filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
final_3conv_ch8_grp8_scale1_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_657_params.txt,3conv,657,8,8,1,0.453346729,0.252425671,0.891650379,6.87139082
final_3conv_ch8_grp8_scale2_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_745_params.txt,3conv,745,8,8,2,0.45475775,0.253211349,0.89100796,6.844397068
final_3conv_ch8_grp8_scale4_mse_only_conv3SingleHeadNet_denoise_epochs_50_metrics_921_params.txt,3conv,921,8,8,4,0.450318873,0.250739753,0.893366396,6.929597378
final_4conv_ch1_grp1_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_51_params.txt,4conv,51,1,1,1,0.55010891,0.306303322,0.838694036,5.191027641
final_4conv_ch1_grp1_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_55_params.txt,4conv,55,1,1,2,0.542622685,0.302134961,0.840778291,5.310041904
final_4conv_ch1_grp1_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_63_params.txt,4conv,63,1,1,4,0.601509929,0.334923685,0.803464651,4.415143967
final_4conv_ch2_grp1_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_169_params.txt,4conv,169,2,1,1,0.460524112,0.256422073,0.889172673,6.734953403
final_4conv_ch2_grp1_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_179_params.txt,4conv,179,2,1,2,0.468002647,0.260586172,0.884160042,6.595034122
final_4conv_ch2_grp1_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_199_params.txt,4conv,199,2,1,4,0.466401756,0.259694785,0.886343658,6.624796867
final_4conv_ch2_grp2_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_141_params.txt,4conv,141,2,2,1,0.531090915,0.295714021,0.847612202,5.496623039
final_4conv_ch2_grp2_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_151_params.txt,4conv,151,2,2,2,0.466187239,0.259575337,0.884802639,6.628792763
final_4conv_ch2_grp2_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_171_params.txt,4conv,171,2,2,4,0.470047921,0.261724979,0.88281244,6.55715847
final_4conv_ch4_grp1_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_609_params.txt,4conv,609,4,1,1,0.444232762,0.247350976,0.896463037,7.047789097
final_4conv_ch4_grp1_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_637_params.txt,4conv,637,4,1,2,0.430366963,0.239630431,0.90266645,7.32322216
final_4conv_ch4_grp1_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_693_params.txt,4conv,693,4,1,4,0.438284457,0.244038925,0.898908079,7.164879322
final_4conv_ch4_grp2_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_497_params.txt,4conv,497,4,2,1,0.445376486,0.247987807,0.89564997,7.025455475
final_4conv_ch4_grp2_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_525_params.txt,4conv,525,4,2,2,0.435581684,0.242534012,0.900148749,7.218608856
final_4conv_ch4_grp2_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_581_params.txt,4conv,581,4,2,4,0.436629325,0.243117347,0.899809599,7.197742462
final_4conv_ch4_grp4_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_385_params.txt,4conv,385,4,4,1,0.445325732,0.247959554,0.895577669,7.026444435
final_4conv_ch4_grp4_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_413_params.txt,4conv,413,4,4,2,0.441749901,0.245968506,0.897311211,7.09647131
final_4conv_ch4_grp4_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_469_params.txt,4conv,469,4,4,4,0.435726047,0.242614388,0.900235653,7.215730667
final_4conv_ch8_grp1_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_2305_params.txt,4conv,2305,8,1,1,0.416733682,0.232039362,0.909758747,7.602828026
final_4conv_ch8_grp1_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_2393_params.txt,4conv,2393,8,1,2,0.428677082,0.238689497,0.903459013,7.357395172
final_4conv_ch8_grp1_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_2569_params.txt,4conv,2569,8,1,4,0.420831949,0.234321296,0.908418655,7.51782608
final_4conv_ch8_grp2_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_1857_params.txt,4conv,1857,8,2,1,0.422412753,0.235201493,0.906765819,7.485260487
final_4conv_ch8_grp2_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_1945_params.txt,4conv,1945,8,2,2,0.421937943,0.234937117,0.9069314,7.495028973
final_4conv_ch8_grp2_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_2121_params.txt,4conv,2121,8,2,4,0.427050412,0.23778376,0.904533386,7.390417576
final_4conv_ch8_grp4_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_1409_params.txt,4conv,1409,8,4,1,0.423609674,0.235867947,0.905854106,7.460682392
final_4conv_ch8_grp4_scale2_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_1497_params.txt,4conv,1497,8,4,2,0.420319885,0.234036162,0.907504618,7.528401375
final_4conv_ch8_grp4_scale4_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_1673_params.txt,4conv,1673,8,4,4,0.417587936,0.232515007,0.909847677,7.585042
final_4conv_ch8_grp8_scale1_mse_only_conv4SingleHeadNet_denoise_epochs_50_metrics_1185_params.txt,4conv,1185,8,8,1,0.432522327,0.240830556,0.902023196,7.279829979
