filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
best_conv5SingleHeadNet_final_5conv_ch4_grp2_scale1_mse_only_denoise_epoch_50_weights_825_params_gen_metrics.txt,5conv,825,4,2,1,0.70326674,0.70326668,0.716578424,3.057598829
best_conv5SingleHeadNet_final_5conv_ch4_grp2_scale2_mse_only_denoise_epoch_50_weights_1201_params_gen_metrics.txt,5conv,1201,4,2,2,0.713413119,0.71341306,0.704907537,2.933178186
best_conv5SingleHeadNet_final_5conv_ch4_grp2_scale4_mse_only_denoise_epoch_50_weights_2625_params_gen_metrics.txt,5conv,2625,4,2,4,0.708645523,0.708645463,0.708128273,2.991419792
best_conv5SingleHeadNet_final_5conv_ch4_grp4_scale1_mse_only_denoise_epoch_50_weights_629_params_gen_metrics.txt,5conv,629,4,4,1,0.720358491,0.720358431,0.698313117,2.849026203
best_conv5SingleHeadNet_final_5conv_ch4_grp4_scale2_mse_only_denoise_epoch_50_weights_837_params_gen_metrics.txt,5conv,837,4,4,2,0.709367096,0.709367037,0.710285425,2.98257947
best_conv5SingleHeadNet_final_5conv_ch4_grp4_scale4_mse_only_denoise_epoch_50_weights_1589_params_gen_metrics.txt,5conv,1589,4,4,4,0.717739105,0.717739046,0.701520622,2.88066864
best_conv5SingleHeadNet_final_5conv_ch8_grp1_scale1_mse_only_denoise_epoch_50_weights_3361_params_gen_metrics.txt,5conv,3361,8,1,1,0.695230007,0.695229948,0.719559371,3.157430172
best_conv5SingleHeadNet_final_5conv_ch8_grp1_scale2_mse_only_denoise_epoch_50_weights_4849_params_gen_metrics.txt,5conv,4849,8,1,2,0.712866426,0.712866366,0.704144657,2.939836979
best_conv5SingleHeadNet_final_5conv_ch8_grp1_scale4_mse_only_denoise_epoch_50_weights_10513_params_gen_metrics.txt,5conv,10513,8,1,4,0.701972485,0.701972425,0.714959741,3.073598385
best_conv5SingleHeadNet_final_5conv_ch8_grp2_scale1_mse_only_denoise_epoch_50_weights_3137_params_gen_metrics.txt,5conv,3137,8,2,1,0.700897932,0.700897872,0.714323223,3.086905241
best_conv5SingleHeadNet_final_5conv_ch8_grp2_scale2_mse_only_denoise_epoch_50_weights_4625_params_gen_metrics.txt,5conv,4625,8,2,2,0.716354787,0.716354728,0.702898264,2.897437096
best_conv5SingleHeadNet_final_5conv_ch8_grp2_scale4_mse_only_denoise_epoch_50_weights_10289_params_gen_metrics.txt,5conv,10289,8,2,4,0.702072203,0.702072144,0.715924323,3.07236433
